Date,Price,Volume,Market,Volatility,Price-to-Volume Ratio,SMA_50,OpenMarket,year,month,day,World_Population,USD_in_Circulation,Age_0_17,Age_17_64,Age_65_plus
2023-09-22,4.44,1.0,US Bonds,0.0130354936380497,4.44,4.1477,1,2023,9,22,8.022272705042331,22.156629334376767,2.0857909033110063,5.214477258277515,0.7220045434538098
2023-09-23,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,9,23,8.02247322345579,22.160033256712563,2.085843038098506,5.214607595246264,0.7220225901110211
2023-09-24,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,9,24,8.02267374186925,22.16343717904836,2.085895172886005,5.214737932215012,0.7220406367682325
2023-09-25,4.55,1.0,US Bonds,0.0136458379158089,4.55,4.1625,1,2023,9,25,8.022874260282709,22.166841101384158,2.0859473076735044,5.214868269183761,0.7220586834254438
2023-09-26,4.56,1.0,US Bonds,0.0136413653017284,4.56,4.177700000000001,1,2023,9,26,8.023074778696168,22.17024502371995,2.085999442461004,5.21499860615251,0.7220767300826552
2023-09-27,4.61,1.0,US Bonds,0.0134810512881065,4.61,4.1949000000000005,1,2023,9,27,8.023275297109628,22.173648946055746,2.086051577248503,5.215128943121258,0.7220947767398664
2023-09-28,4.59,1.0,US Bonds,0.0135327979793946,4.59,4.2097,1,2023,9,28,8.023475815523087,22.177052868391534,2.086103712036002,5.215259280090007,0.7221128233970778
2023-09-29,4.59,1.0,US Bonds,0.0133641042182058,4.59,4.2247,1,2023,9,29,8.023676333936546,22.18045679072733,2.086155846823502,5.215389617058755,0.7221308700542891
2023-09-30,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,9,30,8.023876852350005,22.18386071306313,2.0862079816110013,5.215519954027504,0.7221489167115005
2023-10-01,0.0,0.0,US Bonds,0.0,0.0,0.0,0,2023,10,1,8.024077370763465,22.187264635398925,2.086260116398501,5.215650290996252,0.7221669633687118
2023-10-02,4.69,1.0,US Bonds,0.0135004083009319,4.69,4.2413,1,2023,10,2,8.024277889176924,22.19066855773472,2.0863122511860004,5.2157806279650005,0.7221850100259231
2023-10-03,4.81,1.0,US Bonds,0.0141194846599179,4.81,4.2593,1,2023,10,3,8.024478407590383,22.194072480070517,2.0863643859734995,5.215910964933749,0.7222030566831344
2023-10-04,4.73,1.0,US Bonds,0.0127660985026782,4.73,4.2767,1,2023,10,4,8.024678926003842,22.19747640240631,2.086416520760999,5.216041301902497,0.7222211033403457
2023-10-05,4.72,1.0,US Bonds,0.0127729224385256,4.72,4.2909,1,2023,10,5,8.024879444417301,22.2008803247421,2.0864686555484986,5.216171638871246,0.7222391499975571
2023-10-06,4.78,1.0,US Bonds,0.0128769980052432,4.78,4.3073,1,2023,10,6,8.02507996283076,22.2042842470779,2.0865207903359977,5.216301975839995,0.7222571966547684
