Date,Price,Volume,Market,Volatility,Price-to-Volume Ratio,SMA_50,OpenMarket
2021-08-25,4496.18994140625,3444700000.0,SP500,0.0065570591802105,1.3052486258328012e-06,4366.931181640625,1
2021-08-26,4470.0,3263980000.0,SP500,0.0066299438158099,1.3694936856230737e-06,4371.857177734375,1
2021-08-27,4509.3701171875,3331200000.0,SP500,0.0065881551121708,1.3536773886850084e-06,4377.6073828125,1
2021-08-28,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-08-29,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-08-30,4528.7900390625,3168660000.0,SP500,0.0057400042321321,1.4292445510286682e-06,4384.8541796875,1
2021-08-31,4522.68017578125,4290710000.0,SP500,0.0052082362096098,1.054063354498731e-06,4390.811982421875,1
2021-09-01,4524.08984375,4057340000.0,SP500,0.0050542240574977,1.1150383856787946e-06,4396.36498046875,1
2021-09-02,4536.9501953125,3735990000.0,SP500,0.005060763883089,1.2143903477558829e-06,4402.2671875,1
2021-09-03,4535.43017578125,3217530000.0,SP500,0.0047818776011928,1.4095999651227029e-06,4407.645986328125,1
2021-09-04,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-09-05,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-09-06,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-09-07,4520.02978515625,3822960000.0,SP500,0.0048375167436354,1.1823377134880432e-06,4412.432578125,1
2021-09-08,4514.06982421875,3750880000.0,SP500,0.0047443931056153,1.203469538939862e-06,4416.90177734375,1
2021-09-09,4493.27978515625,3735390000.0,SP500,0.0048453210683863,1.202894419366184e-06,4420.931376953125,1
2021-09-10,4458.580078125,3623180000.0,SP500,0.005033967742537,1.2305709564871191e-06,4424.152978515625,1
2021-09-11,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-09-12,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-09-13,4468.72998046875,3914220000.0,SP500,0.0049275274313427,1.1416655120225102e-06,4427.128779296875,1
2021-09-14,4443.0498046875,3670460000.0,SP500,0.0050434746356417,1.210488550396272e-06,4428.942978515625,1
2021-09-15,4480.7001953125,4032020000.0,SP500,0.0050580676017377,1.111279258364914e-06,4431.686181640625,1
2021-09-16,4473.75,3984560000.0,SP500,0.004982160150711,1.1227713975947156e-06,4433.998583984375,1
2021-09-17,4432.990234375,7289530000.0,SP500,0.0051717764885453,6.081311462295923e-07,4436.2419921875,1
2021-09-18,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-09-19,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-09-20,4357.72998046875,4898070000.0,SP500,0.0060202831861397,8.896830752661252e-07,4436.005595703125,1
2021-09-21,4354.18994140625,3920920000.0,SP500,0.0060200649540586,1.1105021121079364e-06,4435.396796875,1
2021-09-22,4395.64013671875,3939170000.0,SP500,0.0062918100460487,1.1158797758712496e-06,4435.925400390625,1
2021-09-23,4448.97998046875,3916350000.0,SP500,0.006685119830738,1.1360016291875726e-06,4437.41900390625,1
2021-09-24,4455.47998046875,3384290000.0,SP500,0.0066465351591783,1.3165183777007142e-06,4439.3280078125,1
2021-09-25,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-09-26,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-09-27,4443.10986328125,4058650000.0,SP500,0.0066577348222492,1.0947260451828194e-06,4441.647001953125,1
2021-09-28,4352.6298828125,4416550000.0,SP500,0.0075841995218641,9.855271383347865e-07,4443.529794921875,1
2021-09-29,4359.4599609375,3712660000.0,SP500,0.0075069529868091,1.1742147034572248e-06,4444.25779296875,1
2021-09-30,4307.5400390625,4448140000.0,SP500,0.0075636352084752,9.683912914302385e-07,4443.234794921875,1
2021-10-01,4357.0400390625,4010370000.0,SP500,0.0078783663847053,1.0864434052375469e-06,4443.02599609375,1
2021-10-02,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-10-03,0.0,0.0,SP500,0.0,0.0,0.0,0
2021-10-04,4300.4599609375,4307870000.0,SP500,0.0080366840567573,9.982798833153042e-07,4440.79939453125,1
